Lch,Wch,Tch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
18.49,51.9,4.37,0.21,2.14,5.12717435078668e-5,6.45099439644248e-11,0.2312936497643016,71.67690309069421,3.14824232685881e-5,3.43083174895998e-11,-0.2451754295515606,68.2225811847336
34.37,60.85,4.13,0.73,1.67,5.91584327010729e-5,3.17262821180856e-11,0.2424209213698543,67.76267065891989,3.62936963979181e-5,1.55196448943044e-11,-0.2525451123217189,66.9430036982826
28.27,40.11,4.06,0.51,1.92,3.6868643934772e-5,2.51493892480506e-11,0.2450895660172815,67.6595293589552,2.2056339496648e-5,1.25532499634574e-11,-0.2551376235481536,65.4529194916707
29.84,16.88,4.82,1.12,2.08,1.49378972386407e-5,1.28957916447578e-11,0.2593685275987659,68.65565918255808,9.41082807362711e-6,6.50448572769714e-12,-0.2821716614769166,68.18191054819629
18.51,69.43,4.95,0.64,1.51,6.78097676363101e-5,1.4166242328383e-10,0.1950379026331146,63.648469066221594,4.28580831938455e-5,7.88523720101634e-11,-0.2162101803369006,59.91227339185778
27.87,62.0,7.0,0.49,1.94,6.9709024721141e-5,9.17146111821355e-11,0.2049421817579288,58.7482563240255,4.36684431073886e-5,4.75302588453542e-11,-0.2371214157050497,62.6635912554408
20.05,33.13,7.53,1.06,2.14,3.3600507100441e-5,3.97394385039102e-10,0.1855490716994322,72.4418180403617,2.21291328426191e-5,2.26587377318793e-10,-0.2023846650475943,74.6750429753382
15.25,38.61,4.07,0.76,2.03,3.8172332081992e-5,1.12652503247171e-10,0.2109663039422161,64.5832832926796,2.33372422692382e-5,6.63320286829051e-11,-0.2398965105843198,66.08525171462429
17.57,49.14,5.82,0.4,1.99,6.88016703977272e-5,1.54677139116004e-10,0.1952607819970972,65.10137157916051,4.34737062659214e-5,8.94787377208392e-11,-0.21605988056526,62.8477077893487
32.7,25.45,4.8,1.07,1.51,2.2727008185153e-5,1.67708598980322e-11,0.2523027187436099,68.16251517849209,1.45366391231904e-5,8.35844648760091e-12,-0.2696635662043685,66.93029495724589
30.05,70.18,5.01,0.95,1.6,5.94024891297884e-5,6.00445440863735e-11,0.2218957133902472,51.55869846035649,-999.0,-999.0,-999.0,-999.0
21.22,79.46,7.29,1.09,1.61,7.66069294214964e-5,7.31117715164823e-10,0.1730866897908546,69.78616552432649,-999.0,-999.0,-999.0,-999.0
16.88,42.42,4.78,1.02,1.72,4.16542932761281e-5,1.78950683001009e-10,0.1976166101427407,68.3172626160149,2.75958501067608e-5,1.05041336263262e-10,-0.2203719629680462,67.5741433355001
21.17,54.84,7.93,0.27,1.82,7.9784847478752e-5,2.00109114258283e-10,0.1877808208786751,66.12090711480118,4.9457279378562e-5,1.05248626301034e-10,-0.2077567530942825,63.179748106700686
31.48,50.44,7.84,0.5,1.84,6.23589165920684e-5,6.8173234343205e-11,0.217378039237765,54.5075155870218,3.92149885116818e-5,3.40766847672967e-11,-0.2424103279056955,68.3537492146526
31.9,43.43,6.91,0.95,2.08,4.00554046814084e-5,5.80080407484355e-11,0.2315310042664818,60.5693624703523,2.60914172257239e-5,2.91869736234493e-11,-0.2483850869852885,69.1487010920057
26.75,67.37,6.16,0.24,2.03,8.01816033550303e-5,7.91264955524697e-11,0.2077352742945455,55.8179906595089,-999.0,-999.0,-999.0,-999.0
17.15,70.28,5.2,1.14,1.8,6.55606922493476e-5,4.94839081574495e-10,0.1777854175070597,69.9281683916667,-999.0,-999.0,-999.0,-999.0
25.27,68.99,5.96,0.93,1.95,6.6471108693202e-5,1.33597010420643e-10,0.1971146570982122,63.1666305272707,-999.0,-999.0,-999.0,-999.0
20.92,32.06,7.47,0.2,1.76,4.75750263257156e-5,8.11710994823266e-11,0.2155158132315576,58.68094917591102,2.92624759748833e-5,4.2868391016002e-11,-0.2435347808909338,68.80365661474899
23.87,44.81,5.95,0.25,2.11,6.06546106479563e-5,6.03310798171417e-11,0.2235063834320963,53.0812379661863,3.72440545596415e-5,1.63330017406489e-11,-0.2481158503584216,68.32818518773678
23.37,36.5,7.94,0.71,1.72,4.47082065972882e-5,1.25940173261708e-10,0.2043651036899952,65.1817971757896,2.91629723856585e-5,7.24718062543182e-11,-0.2320178062731236,63.403715329291785
34.02,20.42,7.77,1.08,2.07,2.07625828513729e-5,2.44288597557048e-11,0.2489697971643908,69.51308553035601,1.38543650617946e-5,1.23636526597275e-11,-0.2642854074616841,70.36969039751432
25.46,29.85,6.01,0.87,1.62,3.3263885402621e-5,4.46425832027391e-11,0.2417195764400622,68.7074938569825,2.21523123997849e-5,2.42670235770065e-11,-0.2513745061554748,69.53003998380942
23.57,27.9,4.73,0.35,1.7,3.5145090231292e-5,2.48912282897598e-11,0.248878352395857,57.7845143360346,-999.0,-999.0,-999.0,-999.0
27.8,20.19,4.74,0.61,1.95,1.97602269732429e-5,1.48821291198242e-11,0.254192422956912,67.63722719842922,-999.0,-999.0,-999.0,-999.0
19.09,58.27,7.63,0.61,2.07,6.75048042209918e-5,5.13987183671639e-10,0.1771207911112502,69.8887792620716,4.31164315608951e-5,2.95140174407855e-10,-0.1887190584330967,70.6021266961906
20.07,50.4,7.75,1.1,1.55,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24.94,31.89,4.89,0.56,1.5,3.95902984653764e-5,2.93561466343314e-11,0.2442480340125008,68.1214043281555,2.38673879569363e-5,1.52267775861712e-11,-0.2550458233570835,67.75519544713418
