ResNet (GELU/32) | L:0.2 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36788 (Epoch 870)
ResNet (SiLU/128) | L:2.0 W:150 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.36789 (Epoch 870)
ResNet (SiLU/128) | L:0.5 W:100 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.36802 (Epoch 950)
ResNet (SiLU/128) | L:2.0 W:150 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36822 (Epoch 960)
ResNet (GELU/32) | L:0.2 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36842 (Epoch 880)
ResNet (GELU/32) | L:0.5 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36846 (Epoch 870)
ResNet (GELU/32) | L:2.0 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36847 (Epoch 870)
ResNet (GELU/32) | L:0.5 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36863 (Epoch 870)
ResNet (GELU/32) | L:0.5 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36864 (Epoch 870)
ResNet (GELU/32) | L:0.5 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36881 (Epoch 880)
ResNet (SiLU/128) | L:2.0 W:50 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.36883 (Epoch 820)
ResNet (GELU/32) | L:2.0 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36888 (Epoch 860)
ResNet (SiLU/128) | L:2.0 W:100 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36895 (Epoch 950)
ResNet (GELU/32) | L:0.2 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36896 (Epoch 890)
ResNet (GELU/32) | L:2.0 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36911 (Epoch 860)
ResNet (SiLU/128) | L:2.0 W:100 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.36917 (Epoch 810)
ResNet (SiLU/128) | L:0.5 W:50 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.36918 (Epoch 820)
ResNet (SiLU/128) | L:0.5 W:50 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36922 (Epoch 880)
ResNet (GELU/32) | L:0.2 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36922 (Epoch 880)
ResNet (SiLU/128) | L:0.2 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36926 (Epoch 430)
