Lch,Wch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
21.4,54.19,0.86,2.94,1.12662650390181e-5,1.61193413352841e-10,0.2163444616040022,61.21003222192049,1.21501852318499e-5,5.66763189603259e-10,-0.1765706887973609,60.73275961533385
7.71,56.95,0.2,2.19,1.69571932555051e-5,8.15307109302838e-10,0.2054900895888311,64.20369318309187,1.2637420856368e-5,7.78782503135471e-10,-0.2035177101105791,63.203832173337496
11.88,15.93,1.21,1.78,3.95537476638273e-6,1.30712024119018e-10,0.209479380455422,63.78557490309063,3.22662799624229e-6,7.59303570698567e-10,-0.1565254121825226,61.19733695034583
32.68,88.52,1.06,2.31,1.49193677530456e-5,1.34261086144971e-10,0.2217719563736479,62.4345432668542,1.96495256957608e-5,5.88106190659146e-10,-0.1751251846711252,60.15336723387134
43.61,75.91,0.64,1.75,1.33603448433524e-5,7.10937624341522e-11,0.2234799382067977,60.8566527415324,1.64181280471734e-5,1.21956840668098e-10,-0.2031261265564393,58.94186209196514
27.4,40.62,0.88,1.94,7.90438216702445e-6,7.14240937758232e-11,0.2212509308980125,62.432390354125026,8.39546458912075e-6,2.02005515654051e-10,-0.1877962527730454,59.05061021882801
14.28,43.39,0.3,1.39,1.20203153186284e-5,1.44692950453963e-10,0.2187801632714704,62.16560811419214,9.66421959392559e-6,1.38597770531359e-10,-0.21788756564933,61.61887377965507
7.35,98.12,1.49,2.89,2.48510687797337e-5,1.59410143625764e-8,0.1666552732136219,75.36661646360392,2.20956532252527e-5,1.54783183389039e-7,-0.08545491626861959,86.85198073384178
35.8,82.29,1.39,1.24,1.30526609249217e-5,1.02504006990068e-10,0.2247769065877273,61.94654930611748,1.83915944767221e-5,6.15248861391852e-10,-0.1692843646661489,58.96011542341915
10.23,33.56,0.21,2.16,9.68259456468263e-6,2.42701257233879e-10,0.2116706061612716,60.99613429110712,7.23299938581442e-6,2.65078678875058e-10,-0.2068541890229083,61.13296632714048
39.87,18.66,1.05,1.24,3.17594292183375e-6,1.95926051059438e-11,0.2241544658946035,61.19375855533889,3.93895986632572e-6,6.40081285815556e-11,-0.1859771489571389,58.89933951266931
19.58,96.22,1.41,2.61,1.87652336684164e-5,3.90808611104094e-10,0.2141453279870201,62.1347665290084,2.14599204275429e-5,4.49177248051633e-9,-0.1414825491265554,61.04988345694376
33.73,74.3,0.91,2.33,1.29141745604076e-5,1.06516382083604e-10,0.221460855440014,62.444066127204586,1.61945017804997e-5,3.75509074057991e-10,-0.1810151105000449,61.27135823317074
40.59,69.58,0.63,2.17,1.243261347058e-5,7.52451548671428e-11,0.2217894125561235,61.52601276406522,1.53028708031675e-5,1.48409211067339e-10,-0.1971974973623322,61.063592012090965
25.06,27.57,0.34,1.43,6.83478430281964e-6,4.68709693081823e-11,0.2202782079919141,61.11244383186547,6.00290847107953e-6,4.2336898775189e-11,-0.2192798269055119,59.80907402461198
13.51,16.59,1.33,1.32,3.9810333628736e-6,8.63641779411558e-11,0.2153860031223316,60.88440385548997,3.55183395598652e-6,5.18549119443335e-10,-0.1642741418492596,62.56239976064154
44.72,97.23,1.11,2.14,1.40991361767778e-5,9.78858751895579e-11,0.224048370835854,61.94495419914059,2.12543384961389e-5,4.33505139175683e-10,-0.1759841758129935,60.39503325347351
8.85,90.26,1.08,2.68,2.32521102650954e-5,3.36808888856209e-9,0.1891054748570159,66.89292179689684,1.95982981366661e-5,1.79529147965267e-8,-0.1333795626689084,66.7542055340678
12.75,35.92,0.4,1.76,9.7592675113798e-6,1.747474314412e-10,0.2137613873018104,60.69015493200974,7.76150688208831e-6,2.489779742335e-10,-0.2010306202833343,61.56990467502175
25.27,39.54,0.86,2.92,7.87110966611513e-6,9.36824305815728e-11,0.2167255355726639,61.26819514374734,8.77654945576138e-6,3.23074876490224e-10,-0.1773000883914316,60.928513302451265
30.72,79.98,1.07,1.82,1.4346145771329e-5,1.2258401787005e-10,0.2227662832030611,62.31511659697027,1.79309998987153e-5,5.2018875770444e-10,-0.1773267811581833,60.9210157566063
19.0,46.78,1.16,2.7,9.4816096971444e-6,1.8324942191953e-10,0.2145501236978131,61.404723735613786,9.62742508576565e-6,1.35957035232309e-9,-0.1555146555378346,60.830182803854626
35.0,34.39,0.91,2.73,5.97747358383777e-6,4.92887871118272e-11,0.2203820096085186,62.17554195002702,7.36491805735594e-6,1.85278190164088e-10,-0.1784233884879708,61.31381196718298
17.16,86.24,1.12,2.01,1.8684824066722e-5,3.32801001040696e-10,0.2164823144252142,61.11549108626049,1.88376528894778e-5,1.93298720432605e-9,-0.163890178148619,62.41238482752568
16.16,36.12,0.9,1.46,8.75325055525589e-6,1.29056036860517e-10,0.216896068752528,61.371076030040165,7.95651537875537e-6,3.74312736693936e-10,-0.1845572827959489,61.41814949870903
10.73,72.76,0.74,2.66,1.84929542840968e-5,8.8412041295265e-10,0.2049983498440802,63.873382547390115,1.59468766979494e-5,3.15035699358809e-9,-0.1635275857779524,62.27199237555128
17.31,97.36,0.64,2.42,2.27396510459432e-5,3.54034751926919e-10,0.2157865764440663,61.161051784725615,2.12600403313297e-5,8.95528054649226e-10,-0.1868357483096946,61.137879474238815
10.81,42.8,1.05,2.21,1.05614423793057e-5,4.97421470994628e-10,0.20648497794879,64.15970074229352,9.40788516081121e-6,2.73745960596204e-9,-0.153449400216678,63.29466917945456
39.44,18.1,0.96,1.51,3.1365498909865e-6,1.93720509739977e-11,0.2237227887766071,61.24801556035855,3.85904739695107e-6,5.63712668236039e-11,-0.1893568935112968,58.938749370435374
37.38,61.7,1.22,2.76,9.3356663942948e-6,8.35817618343661e-11,0.2223563041927144,62.4479758506757,1.36676892942919e-5,5.63291986171525e-10,-0.1629330166156946,61.498114970705174
14.34,35.99,0.39,1.78,9.63605833192366e-6,1.37370763483496e-10,0.2167806616567141,61.59929766069205,7.82897044668483e-6,1.70065921741143e-10,-0.2087989883049132,59.49576157100089
42.26,75.32,0.93,1.89,1.1969798112475e-5,7.66625616818193e-11,0.224077957304447,61.481739630522284,1.68020995467749e-5,2.32002091965497e-10,-0.1878280686406726,58.65244967560683
36.7,91.28,0.34,1.62,1.97708102536119e-5,9.93498263056489e-11,0.2222760601871125,60.50543246644013,2.05807992559716e-5,9.87957930183949e-11,-0.2172892233867491,60.0525462626042
29.64,48.6,1.43,1.41,8.26318288972089e-6,8.16255705640341e-11,0.2221356670816464,62.44796088096477,1.07686336223322e-5,5.40684792264171e-10,-0.1636575944273043,61.10175410853588
28.69,72.38,0.52,1.82,1.57997437884058e-5,1.13061839429084e-10,0.2206490995779669,61.68119175051341,1.61248041712385e-5,1.68923839197776e-10,-0.2054240374394188,58.57642229358573
42.96,85.42,1.12,2.56,1.23342435740853e-5,9.32094266570189e-11,0.2235162568567103,62.30841262915203,1.84234040568723e-5,4.64336168156219e-10,-0.1728405583728168,59.34285251848993
34.12,27.25,1.2,1.6,4.63794303678503e-6,3.67281476225705e-11,0.2231030562066975,62.09859539710756,5.81161279978954e-6,1.70809990494878e-10,-0.1752303039020435,60.1480900790838
17.7,49.87,1.36,1.91,1.0428106862609e-5,1.92657850858609e-10,0.2165599103067672,61.06268325578866,1.09791696889611e-5,1.54232649110219e-9,-0.1554040996676274,60.60822634267427
39.16,59.8,0.52,2.26,1.12003412295604e-5,6.69696104620062e-11,0.2214513568060181,61.498498771715106,1.32461525224424e-5,1.09303292102298e-10,-0.2026801868112014,59.208215074381165
32.69,66.77,0.27,2.49,1.44401989049763e-5,9.29378928121751e-11,0.2195866928229731,61.7560947716248,1.47423260201233e-5,1.0458271514867e-10,-0.2120336684886768,60.76576047197377
32.32,94.66,0.38,1.45,2.05610596861977e-5,1.17917992355232e-10,0.222197105449098,60.59995500083172,2.12654285305359e-5,1.17355303376784e-10,-0.2175406065347666,60.172030018212894
26.07,38.35,1.0,1.4,7.68409258694422e-6,6.77491951112235e-11,0.2224955829410223,62.08883396420561,7.88677055045524e-6,2.09004437621934e-10,-0.1863342152327939,59.463617298382815
30.36,19.81,0.44,2.62,4.17896641800444e-6,3.08442766017266e-11,0.2196972716704269,62.143231460108375,4.18807268054442e-6,4.67917490724805e-11,-0.2038094740641693,59.33815653619595
33.67,64.59,1.2,2.4,1.05429554899666e-5,9.74409403802136e-11,0.2217239355443051,62.340177826258085,1.43826941507389e-5,5.8519433001975e-10,-0.1665257221253428,60.54585121262551
12.55,72.97,0.44,2.75,1.92217434582929e-5,5.95565373674749e-10,0.206936549685346,63.93055708017295,1.63703282965701e-5,1.21842542951535e-9,-0.1813565634750723,62.159242475249656
16.71,95.08,1.16,2.83,2.0588414132021e-5,5.46570192532881e-10,0.2099792386785913,63.63231701301754,2.1256006315187e-5,4.14605620946959e-9,-0.1493685293504661,63.43438716080342
24.85,49.57,0.25,2.23,1.21197828626766e-5,9.52781428881284e-11,0.2179056389628769,61.9906992669672,1.10999417256825e-5,9.05116388245413e-11,-0.2152266457878846,61.39786582527862
