DeepMLP (SiLU/16) | L:0.5 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08518 (Epoch 1070)
ResNet (ELU/16) | L:0 W:50 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3050)
ResNet (ELU/16) | L:0 W:50 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3050)
ResNet (ELU/16) | L:0 W:50 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3050)
ResNet (ELU/16) | L:0 W:100 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3050)
ResNet (ELU/16) | L:0 W:100 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3050)
ResNet (ELU/16) | L:0 W:100 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3050)
ResNet (ELU/16) | L:0 W:150 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3050)
ResNet (ELU/16) | L:0 W:150 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3050)
ResNet (ELU/16) | L:0 W:150 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3050)
ResNet (ELU/16) | L:0.2 W:50 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3150)
ResNet (ELU/16) | L:0.2 W:100 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3140)
ResNet (ELU/16) | L:0.2 W:150 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08522 (Epoch 3160)
ResNet (ELU/16) | L:0.2 W:50 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08523 (Epoch 3120)
ResNet (ELU/16) | L:0.2 W:100 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08523 (Epoch 3140)
DeepMLP (SiLU/16) | L:0.5 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08524 (Epoch 1070)
ResNet (ELU/16) | L:0.2 W:150 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08524 (Epoch 3150)
ResNet (ELU/16) | L:0.2 W:50 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08524 (Epoch 3180)
ResNet (ELU/16) | L:0.2 W:100 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08524 (Epoch 3150)
ResNet (ELU/16) | L:0.2 W:150 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08525 (Epoch 3120)
DeepMLP (SiLU/16) | L:0.5 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08525 (Epoch 1090)
DeepMLP (SiLU/16) | L:0.5 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08526 (Epoch 1100)
DeepMLP (SiLU/16) | L:0.5 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08527 (Epoch 1100)
DeepMLP (SiLU/16) | L:0.5 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08528 (Epoch 1090)
DeepMLP (SiLU/16) | L:0.5 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08528 (Epoch 1110)
DeepMLP (SiLU/16) | L:0.5 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08529 (Epoch 1110)
DeepMLP (SiLU/16) | L:0.5 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08529 (Epoch 1100)
DeepMLP (SiLU/16) | L:0 W:50 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08535 (Epoch 2230)
DeepMLP (SiLU/16) | L:0 W:50 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08535 (Epoch 2230)
DeepMLP (SiLU/16) | L:0 W:50 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08535 (Epoch 2230)
DeepMLP (SiLU/16) | L:0 W:100 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08535 (Epoch 2230)
DeepMLP (SiLU/16) | L:0 W:100 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08535 (Epoch 2230)
DeepMLP (SiLU/16) | L:0 W:100 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08535 (Epoch 2230)
DeepMLP (SiLU/16) | L:0 W:150 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08535 (Epoch 2230)
DeepMLP (SiLU/16) | L:0 W:150 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08535 (Epoch 2230)
DeepMLP (SiLU/16) | L:0 W:150 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08535 (Epoch 2230)
DeepMLP (SiLU/16) | L:0.5 W:100 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08539 (Epoch 1380)
DeepMLP (SiLU/16) | L:0.5 W:50 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08540 (Epoch 1380)
ResNet (ELU/16) | L:0.5 W:50 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08542 (Epoch 3050)
ResNet (ELU/16) | L:0.5 W:100 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08542 (Epoch 3040)
ResNet (ELU/16) | L:0.5 W:150 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08543 (Epoch 3040)
ResNet (ELU/16) | L:0.5 W:50 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08543 (Epoch 3040)
ResNet (ELU/16) | L:0.5 W:100 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08544 (Epoch 3040)
DeepMLP (ELU/64) | L:0 W:50 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08546 (Epoch 430)
DeepMLP (ELU/64) | L:0 W:50 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08546 (Epoch 430)
DeepMLP (ELU/64) | L:0 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08546 (Epoch 430)
DeepMLP (ELU/64) | L:0 W:100 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08546 (Epoch 430)
DeepMLP (ELU/64) | L:0 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08546 (Epoch 430)
DeepMLP (ELU/64) | L:0 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08546 (Epoch 430)
DeepMLP (ELU/64) | L:0 W:150 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08546 (Epoch 430)
