size,test_mse,seed
227,0.11260973662137985,22749
227,0.09407790005207062,22750
227,0.11128126084804535,22751
396,0.09728783369064331,39643
396,0.10064369440078735,39642
396,0.10957744717597961,39644
396,0.10802152007818222,39645
396,0.0942550078034401,39646
396,0.09807659685611725,39647
396,0.11280842125415802,39648
396,0.10169011354446411,39649
396,0.10673340409994125,39650
396,0.10376057028770447,39651
690,0.09786424040794373,69043
690,0.09479501098394394,69042
690,0.09278053790330887,69044
690,0.09265849739313126,69045
690,0.09346909075975418,69046
690,0.09192796051502228,69047
690,0.09281343966722488,69049
690,0.09468988329172134,69048
690,0.0893075168132782,69050
690,0.0919908881187439,69051
1203,0.08462193608283997,120342
1203,0.08787462115287781,120343
1203,0.08495014160871506,120344
1203,0.08515476435422897,120345
1203,0.08702091127634048,120346
1203,0.08320045471191406,120347
1203,0.08581643551588058,120348
1203,0.08564954251050949,120349
1203,0.08915983140468597,120350
1203,0.086490198969841,120351
911,0.09135288745164871,91142
911,0.08950326591730118,91143
911,0.09273942559957504,91144
911,0.09395582973957062,91145
911,0.09066707640886307,91146
911,0.08869742602109909,91147
911,0.08529891818761826,91148
911,0.08504748344421387,91149
911,0.089251808822155,91151
911,0.09009452909231186,91150
523,0.09898221492767334,52342
523,0.0971028208732605,52343
523,0.09116890281438828,52344
523,0.10555773973464966,52345
523,0.10196541994810104,52346
523,0.10256785154342651,52348
523,0.10028063505887985,52347
523,0.09787458181381226,52350
523,0.09510736167430878,52351
523,0.09544701129198074,52349
300,0.11131180077791214,30042
300,0.11040931940078735,30044
300,0.11519540101289749,30043
300,0.10112636536359787,30045
300,0.11139732599258423,30046
300,0.09746617823839188,30047
300,0.11708347499370575,30048
300,0.10137267410755157,30049
300,0.11632278561592102,30050
172,0.11460858583450317,17242
300,0.1279718279838562,30051
172,0.1422303318977356,17243
172,0.12177281826734543,17245
172,0.14231982827186584,17246
172,0.13857345283031464,17244
172,0.1152273565530777,17248
172,0.12363965809345245,17247
172,0.11855677515268326,17249
172,0.12959223985671997,17250
172,0.15861216187477112,17251
243,0.12539461255073547,24342
243,0.1198134794831276,24343
243,0.10374023765325546,24344
243,0.1367723047733307,24347
243,0.11673777550458908,24346
243,0.10247772932052612,24345
243,0.12455842643976212,24349
243,0.12614263594150543,24348
69,0.3105109930038452,6942
243,0.1110789030790329,24350
69,0.2199285924434662,6943
243,0.11894896626472473,24351
69,0.16448046267032623,6944
69,0.2031034529209137,6946
69,0.16840042173862457,6945
69,0.26409196853637695,6947
69,0.2281724363565445,6948
69,0.2393510937690735,6950
69,0.19383034110069275,6951
69,0.19031812250614166,6949
140,0.1297932267189026,14042
140,0.18000124394893646,14044
140,0.1355952024459839,14043
140,0.12644802033901215,14045
140,0.12469430267810822,14046
140,0.12984469532966614,14047
140,0.1452951580286026,14049
140,0.14354561269283295,14048
140,0.1484089195728302,14050
106,0.17279142141342163,10642
140,0.11246112734079361,14051
106,0.16350360214710236,10643
106,0.12505216896533966,10644
106,0.14458394050598145,10645
106,0.15163661539554596,10646
106,0.1662830412387848,10648
106,0.15663175284862518,10647
106,0.19726979732513428,10651
106,0.13918721675872803,10649
106,0.14420264959335327,10650
424,0.12098836898803711,42442
424,0.11230723559856415,42443
424,0.09824594110250473,42444
424,0.10682278126478195,42445
424,0.10367487370967865,42446
424,0.09298115223646164,42447
424,0.10106931626796722,42448
424,0.1134052574634552,42449
424,0.10290761291980743,42450
92,0.2046617865562439,9242
92,0.15161433815956116,9243
424,0.10043173283338547,42451
92,0.15959963202476501,9245
92,0.15310460329055786,9244
92,0.17102769017219543,9246
92,0.23507258296012878,9249
92,0.16130149364471436,9248
92,0.1488509476184845,9247
92,0.18548430502414703,9250
92,0.1886315941810608,9251
184,0.1436782032251358,18443
184,0.12564603984355927,18442
184,0.13482765853405,18444
184,0.13571317493915558,18446
184,0.12119588255882263,18445
184,0.14462321996688843,18447
184,0.12643550336360931,18448
184,0.11408067494630814,18449
184,0.12565909326076508,18451
184,0.11502688378095627,18450
740,0.09817042201757431,74042
740,0.09427574276924133,74044
740,0.08905152976512909,74043
740,0.10156428813934326,74045
740,0.10257571190595627,74046
740,0.09714657068252563,74047
740,0.09398388117551804,74048
740,0.10562552511692047,74049
740,0.090272918343544,74050
740,0.09722436219453812,74051
321,0.10618899017572403,32142
321,0.10957339406013489,32143
321,0.09808896481990814,32144
321,0.1075296550989151,32145
321,0.1049441546201706,32146
321,0.11018697172403336,32148
321,0.09784412384033203,32147
321,0.11318109184503555,32149
321,0.11192043870687485,32150
321,0.11856048554182053,32151
1289,0.08425575494766235,128942
1289,0.0882679671049118,128943
1289,0.08549875766038895,128944
1289,0.08587805181741714,128945
1289,0.08597338199615479,128946
1289,0.08623737841844559,128947
1289,0.08559088408946991,128948
1289,0.08705901354551315,128950
1289,0.08577017486095428,128949
1289,0.08500020205974579,128951
976,0.08916210383176804,97642
976,0.08995530754327774,97643
976,0.08807467669248581,97644
976,0.08990784734487534,97645
976,0.08842736482620239,97646
976,0.08983028680086136,97647
976,0.08793056756258011,97648
976,0.08686630427837372,97649
976,0.08829957246780396,97650
560,0.0947704091668129,56042
976,0.09323642402887344,97651
560,0.10692612081766129,56043
560,0.0910835862159729,56044
560,0.09300386160612106,56045
560,0.09701890498399734,56046
560,0.11297205835580826,56048
560,0.09356977790594101,56047
560,0.10081548988819122,56049
122,0.14347827434539795,12242
560,0.09553977102041245,56050
122,0.17203043401241302,12243
560,0.1012374684214592,56051
122,0.13610288500785828,12244
122,0.13707372546195984,12245
122,0.1325179785490036,12246
122,0.14076432585716248,12247
122,0.1611076444387436,12249
122,0.14107218384742737,12248
122,0.150059312582016,12250
122,0.16381452977657318,12251
1122,0.08678880333900452,112242
1122,0.08740254491567612,112243
1122,0.08653948456048965,112244
1122,0.08992373198270798,112246
1122,0.08715811371803284,112245
1122,0.08540236204862595,112247
1122,0.08819092065095901,112248
1122,0.08766420185565948,112249
1122,0.08739521354436874,112250
643,0.09217079728841782,64342
1122,0.08875209093093872,112251
643,0.09554558992385864,64343
643,0.10022280365228653,64344
643,0.09748918563127518,64345
643,0.09515310823917389,64346
643,0.09119009226560593,64347
643,0.08920265734195709,64348
643,0.08743932843208313,64349
643,0.09506887942552567,64350
643,0.0897369310259819,64351
369,0.12943577766418457,36943
369,0.09243693202733994,36942
369,0.10460509359836578,36944
369,0.09902657568454742,36945
369,0.09624897688627243,36946
369,0.11642405390739441,36947
369,0.10892840474843979,36948
369,0.11877376586198807,36949
369,0.11647257953882217,36951
369,0.10314782708883286,36950
850,0.09299544245004654,85042
850,0.09095960855484009,85043
850,0.08534150570631027,85044
850,0.09452908486127853,85045
850,0.08698013424873352,85046
850,0.08966340869665146,85047
850,0.09003300964832306,85048
850,0.08827216178178787,85050
850,0.09096785634756088,85049
850,0.09329347312450409,85051
488,0.12973496317863464,48842
488,0.0938585102558136,48843
488,0.1030341237783432,48844
488,0.09961722791194916,48845
488,0.10234463214874268,48847
488,0.10200235992670059,48846
488,0.09510082751512527,48848
488,0.10152210295200348,48850
488,0.09694600105285645,48849
80,0.16614453494548798,8042
488,0.09759926050901413,48851
80,0.1543550193309784,8043
80,0.1657930314540863,8044
80,0.2219814658164978,8046
80,0.199449360370636,8045
80,0.16984474658966064,8047
80,0.16747653484344482,8049
80,0.17450422048568726,8048
80,0.1628856509923935,8050
80,0.16500015556812286,8051
212,0.12462043017148972,21242
212,0.1362055242061615,21244
212,0.11824425309896469,21243
212,0.11469493806362152,21245
212,0.12808671593666077,21247
212,0.11939023435115814,21246
212,0.11250867694616318,21248
212,0.10915054380893707,21250
212,0.10972867906093597,21249
212,0.12807515263557434,21251
280,0.1039135530591011,28043
280,0.10343147069215775,28042
280,0.1215084120631218,28044
280,0.1398637443780899,28046
280,0.11083876341581345,28045
280,0.11157132685184479,28048
280,0.10091859102249146,28047
280,0.10016945004463196,28049
280,0.129080668091774,28050
60,0.20071165263652802,6042
280,0.1202903538942337,28051
60,0.20936740934848785,6043
60,0.18548911809921265,6044
60,0.17314203083515167,6046
60,0.18351328372955322,6045
60,0.22086668014526367,6047
60,0.18616241216659546,6048
60,0.18426917493343353,6049
60,0.22399656474590302,6050
53,0.29675981402397156,5342
60,0.18927903473377228,6051
53,0.22491134703159332,5343
53,0.26566487550735474,5344
53,0.24630610644817352,5345
53,0.2229253649711609,5346
53,0.2602052688598633,5348
53,0.15062938630580902,5347
53,0.2925929129123688,5349
53,0.30683112144470215,5350
53,0.19749310612678528,5351
161,0.1259436011314392,16142
161,0.13813750445842743,16144
161,0.11965610831975937,16143
161,0.1440553516149521,16145
161,0.15096153318881989,16146
161,0.13571080565452576,16147
161,0.14245915412902832,16149
161,0.12529024481773376,16148
71,0.20025373995304108,7142
161,0.14705361425876617,16151
161,0.11209902912378311,16150
71,0.2712743580341339,7144
71,0.1699984222650528,7143
71,0.17195437848567963,7145
71,0.2647361159324646,7146
71,0.19663307070732117,7147
71,0.19149862229824066,7148
71,0.20335105061531067,7149
71,0.14715340733528137,7150
62,0.24888858199119568,6242
71,0.16037407517433167,7151
62,0.2195916324853897,6245
62,0.251899778842926,6243
62,0.17396441102027893,6244
62,0.20195455849170685,6246
62,0.19574342668056488,6248
62,0.1413557231426239,6247
62,0.2063523679971695,6249
62,0.17601850628852844,6250
62,0.21417401731014252,6251
145,0.15854083001613617,14542
145,0.1197003573179245,14543
145,0.1260049194097519,14544
145,0.13902515172958374,14545
145,0.12099096179008484,14547
145,0.11425415426492691,14546
145,0.13443520665168762,14548
145,0.1593901813030243,14549
145,0.12271952629089355,14550
145,0.14111514389514923,14551
252,0.13071689009666443,25242
252,0.12854312360286713,25243
252,0.11443913727998734,25244
252,0.10850722342729568,25245
252,0.09909527003765106,25246
252,0.11012120544910431,25247
252,0.10419204086065292,25248
252,0.10626060515642166,25249
252,0.11183369904756546,25251
252,0.10435318201780319,25250
95,0.1689843237400055,9542
95,0.14402112364768982,9543
95,0.14595866203308105,9544
95,0.16950847208499908,9545
95,0.13511893153190613,9546
95,0.1701587438583374,9547
95,0.14880789816379547,9548
95,0.16173408925533295,9549
95,0.133717343211174,9550
95,0.1417805701494217,9551
190,0.11121490597724915,19042
190,0.14867378771305084,19043
190,0.1137380599975586,19044
190,0.128854900598526,19046
190,0.12393832206726074,19045
190,0.1214967891573906,19047
190,0.09803938865661621,19049
190,0.12032641470432281,19048
54,0.16878803074359894,5442
190,0.14531663060188293,19050
54,0.20785290002822876,5443
190,0.1320008784532547,19051
54,0.21297873556613922,5444
54,0.2301642894744873,5445
54,0.1773042529821396,5447
54,0.21736353635787964,5446
54,0.17943930625915527,5448
54,0.21847285330295563,5451
54,0.21130557358264923,5449
54,0.18525242805480957,5450
109,0.14551737904548645,10942
109,0.15809285640716553,10943
109,0.1353975534439087,10944
109,0.1363740861415863,10945
109,0.19354675710201263,10947
109,0.17689329385757446,10948
109,0.14717817306518555,10946
109,0.13395121693611145,10949
109,0.16760312020778656,10950
109,0.14299972355365753,10951
439,0.10093550384044647,43943
439,0.10283980518579483,43942
439,0.10026983916759491,43944
439,0.1393013298511505,43946
439,0.10488990694284439,43945
439,0.1015155017375946,43947
